Регион,"Население, чел (2019)",Число легковых автомобилей (2019)
Алтайский край,2317153,788 844
Амурская область,790044,239 466
Архангельская область,1092424,359 847
Астраханская область,1005782,293 315
Белгородская область,1549151,518 590
Брянская область,1192491,259 802
Владимирская область,1358416,425 879
Волгоградская область,2491036,1 138 292
Вологодская область,1160445,407 254
Воронежская область,2324205,857 393
Еврейская автономная область,158305,40 284
Забайкальский край,1059700,325 408
Ивановская область,997135,310 820
Иркутская область,2391193,634 462
Кабардино-Балкарская республика,868350,243 349
Калининградская область,1012512,414 673
Калужская область,1002575,333 164
Камчатский край,313016,169 046
Карачаево-Черкесская республика,465528,98 789
Кемеровская область,2657854,871 604
Кировская область,1262402,364 021
Костромская область,633385,192 702
Краснодарский край,5675462,1 802 995
Красноярский край,2866255,880 489
Курганская область,827166,298 094
Курская область,1104008,364 178
Ленинградская область,1875872,622 168
Липецкая область,1139371,416 772
Магаданская область,140149,55 629
Москва,12678079,3 991 660
Московская область,7690863,2 800 011
Мурманская область,741404,252 425
Ненецкий автономный округ,44111,12 995
Нижегородская область,3202946,1 227 304
Новгородская область,596508,209 011
Новосибирская область,2798170,939 504
Омская область,1926665,521 943
Оренбургская область,1956835,774 580
Орловская область,733498,259 897
Пензенская область,1305563,435 122
Пермский край,2599260,910 098
Приморский край,1895868,872 977
Псковская область,626115,262 561
Республика Адыгея,463088,209 535
Республика Алтай,220181,62 349
Республика Башкортостан,4038151,1 496 305
Республика Бурятия,985937,283 316
Республика Дагестан,3110858,646 535
Республика Ингушетия,507061,97 175
Республика Калмыкия,271135,94 432
Республика Карелия,614064,250 191
Республика Коми,820473,270 369
Республика Крым,1912622,397 997
Республика Марий Эл,679417,178 016
Республика Мордовия,790197,267 409
Республика Саха (Якутия),971996,247 406
Республика Северная Осетия - Алания,696837,223 296
Республика Татарстан,3902888,1 176 637
Республика Тыва,327383,48 138
Республика Хакасия,534262,221 763
Ростовская область,4197821,1 433 541
Рязанская область,1108847,451 231
Самарская область,3179532,1 038 134
Санкт-Петербург,5398064,1 744 133
Саратовская область,2421895,839 781
Сахалинская область,488257,164 874
Свердловская область,4310681,1 790 940
Севастополь,449138,140 081
Смоленская область,934889,244 457
Ставропольский край,2803573,791 778
Тамбовская область,1006748,346 060
Тверская область,1260379,530 109
Томская область,1079271,328 582
Тульская область,1466127,557 971
Тюменская область,1537416,523 652
Удмуртская республика,1500955,462 910
Ульяновская область,1229824,381 039
Хабаровский край,1315643,396 213
Ханты-Мансийский автономный округ,1674676,631 601
Челябинская область,3466369,1 165 226
Чеченская республика,1478726,269 315
Чувашская республика,1217818,292 439
Чукотский автономный округ,50288,7 834
Ямало-Ненецкий автономный округ,544444,184 856
Ярославская область,1253389,357 501